Entity Type,Word,Count
Disease,pain,243051
Disease,disease,103999
Disease,of,91696
Disease,edema,89346
Disease,failure,68847
Disease,pulmonary,66641
Disease,effusion,65110
Disease,chest,64041
Disease,fever,63024
Disease,regurgitation,60055
Disease,infection,55052
Disease,pneumonia,53470
Disease,aortic,52724
Disease,pleural,50819
Disease,stenosis,50071
Disease,artery,47133
Disease,hypertension,46686
Disease,bleeding,46181
Disease,renal,45152
Disease,abdominal,44715
Disease,breath,42984
Disease,fracture,42022
Disease,atrial,41281
Disease,shortness,39970
Disease,hemorrhage,39408
Disease,mitral,38700
Disease,Allergies,38451
Disease,heart,37846
Disease,nausea,37592
Disease,respiratory,36815
Disease,fibrillation,35668
Disease,hypotension,34658
Disease,ventricular,32955
Disease,and,31315
Disease,anemia,31103
Disease,chronic,30078
Disease,cancer,29967
Disease,bleed,29952
Disease,vomiting,29590
Disease,diarrhea,29518
Disease,HTN,28019
Disease,constipation,27856
Disease,hematoma,27483
Disease,Hypertension,27003
Disease,distress,26919
Disease,left,26462
Disease,cough,25981
Disease,pericardial,25711
Disease,effusions,24796
Disease,chills,24338
Disease,atelectasis,24337
Disease,acute,23778
Disease,weakness,23019
Disease,tachycardia,22916
Disease,sepsis,22795
Disease,CHF,22579
Disease,-,22311
Disease,coronary,22078
Disease,diabetes,22047
Disease,ulcer,21888
Disease,loss,21651
Disease,lung,21490
Disease,CAD,21365
Disease,systolic,21364
Disease,seizure,20605
Disease,aspiration,20072
Disease,dyspnea,20021
Disease,pneumothorax,19849
Disease,infarction,19307
Disease,Aller,18649
Disease,valve,18008
Disease,liver,18001
Disease,COPD,17922
Disease,headache,17080
Disease,dysfunction,17001
Disease,s,16715
Disease,stroke,16144
Disease,in,15894
Disease,DM,15795
Disease,injury,15649
Disease,syndrome,15175
Disease,or,14806
Disease,ischemia,14670
Disease,abscess,14649
Disease,blood,14604
Disease,aneurysm,14516
Disease,ascites,14303
Disease,MI,14265
Disease,/,14191
Disease,bowel,13992
Disease,Diabetes,13932
Disease,cirrhosis,13918
Disease,status,13823
Disease,mental,13790
Disease,swelling,13558
Disease,wheezing,13119
Disease,GI,13067
Disease,obstruction,12974
Disease,fevers,12831
Disease,hypertrophy,12762
Disease,myocardial,12734
Disease,DVT,12604
Disease,",",12455
Disease,back,12421
Disease,hernia,12403
Disease,cyanosis,12348
Disease,the,12263
Disease,depression,12176
Disease,rash,12106
Disease,ischemic,12082
Disease,seizures,12027
Disease,hypotensive,11994
Disease,lower,11965
Disease,mass,11963
Disease,urinary,11917
Disease,UTI,11906
Disease,defect,11877
Disease,vascular,11814
Disease,Anemia,11722
Disease,mellitus,11680
